ID,Name,Age,Salary,Department,Join_Date,Experience_Years,Bonus,Remote_Work
1.0,Person_1,,89502.7,HR,2010-01-01,0.0,2000,Yes
2.0,Person_2,46.0,61461.55,HR,2010-01-02,14.0,1000,No
3.0,,32.0,36678.71,,2010-01-03,0.0,2000,No
4.0,Person_4,25.0,55957.28,Engineering,2010-01-04,4.0,,No
5.0,Person_5,38.0,76818.89,Engineering,2010-01-05,15.0,2000,No
,Person_6,56.0,76614.56,Finance,2010-01-06,18.0,,No
7.0,Person_7,36.0,71390.85,Finance,2010-01-07,3.0,,No
8.0,Person_8,40.0,49230.53,Engineering,2010-01-08,2.0,1000,No
9.0,Person_9,28.0,69287.04,Engineering,2010-01-09,16.0,,No
10.0,Person_10,28.0,56804.88,Marketing,2010-01-10,16.0,,No
11.0,Person_11,41.0,98019.85,Marketing,2010-01-11,11.0,1000,Yes
,Person_12,53.0,89423.97,Finance,2010-01-12,13.0,3000,Yes
13.0,Person_13,57.0,80521.07,Marketing,2010-01-13,5.0,,No
14.0,Person_14,41.0,46518.94,HR,2010-01-14,2.0,,Yes
15.0,Person_15,20.0,47924.78,Marketing,2010-01-15,8.0,2000,No
16.0,Person_16,39.0,32830.35,Marketing,2010-01-16,4.0,3000,Yes
17.0,Person_17,19.0,79746.4,,2010-01-17,16.0,1000,No
18.0,Person_18,41.0,37762.36,Finance,2010-01-18,13.0,1000,No
19.0,Person_19,47.0,60753.56,HR,2010-01-19,2.0,2000,No
20.0,Person_20,55.0,44120.34,Marketing,2010-01-20,0.0,,Yes
21.0,Person_21,19.0,92703.45,Finance,2010-01-21,,3000,No
22.0,Person_22,38.0,63275.92,Marketing,2010-01-22,0.0,3000,No
23.0,Person_23,50.0,69429.29,,2010-01-23,2.0,1000,Yes
24.0,Person_24,29.0,78686.13,HR,2010-01-24,17.0,,No
25.0,Person_25,39.0,39753.2,Marketing,2010-01-25,9.0,3000,No
26.0,Person_26,42.0,72309.22,Engineering,2010-01-26,2.0,2000,Yes
27.0,Person_27,44.0,67788.88,Engineering,2010-01-27,7.0,2000,No
28.0,Person_28,59.0,44214.29,HR,2010-01-28,13.0,2000,Yes
29.0,Person_29,45.0,95999.75,HR,2010-01-29,17.0,2000,Yes
30.0,Person_30,33.0,71920.58,Engineering,2010-01-30,14.0,3000,No
31.0,Person_31,32.0,78634.95,Engineering,2010-01-31,1.0,3000,Yes
32.0,,20.0,91632.75,Marketing,2010-02-01,9.0,3000,No
33.0,Person_33,54.0,73704.78,Marketing,2010-02-02,1.0,2000,No
34.0,Person_34,24.0,50694.36,Engineering,2010-02-03,16.0,3000,No
35.0,Person_35,38.0,37384.6,Marketing,2010-02-04,7.0,2000,No
36.0,Person_36,26.0,61957.42,Marketing,2010-02-05,0.0,2000,No
37.0,Person_37,56.0,45290.83,Finance,2010-02-06,8.0,,No
38.0,Person_38,35.0,59155.7,Marketing,2010-02-07,10.0,3000,No
39.0,,21.0,91829.62,HR,2010-02-08,15.0,3000,Yes
40.0,Person_40,42.0,52704.15,Marketing,2010-02-09,6.0,2000,No
41.0,Person_41,31.0,38546.16,Marketing,2010-02-10,9.0,3000,No
42.0,Person_42,26.0,54940.85,Engineering,2010-02-11,2.0,2000,Yes
43.0,Person_43,43.0,93477.99,HR,2010-02-12,17.0,1000,No
44.0,Person_44,19.0,49049.26,Marketing,2010-02-13,12.0,1000,No
45.0,Person_45,37.0,,Marketing,2010-02-14,6.0,1000,No
46.0,Person_46,45.0,30036.43,Finance,2010-02-15,3.0,1000,No
47.0,Person_47,24.0,54679.82,Marketing,2010-02-16,12.0,,No
48.0,Person_48,25.0,51334.69,Marketing,2010-02-17,19.0,2000,Yes
49.0,Person_49,52.0,41525.91,Finance,2010-02-18,0.0,1000,Yes
50.0,Person_50,31.0,67386.26,Engineering,2010-02-19,7.0,2000,No
51.0,Person_51,34.0,63938.1,Marketing,2010-02-20,13.0,1000,No
52.0,Person_52,53.0,78470.52,Finance,2010-02-21,15.0,2000,Yes
53.0,Person_53,57.0,48858.86,,2010-02-22,13.0,1000,No
54.0,Person_54,21.0,47088.79,,,11.0,1000,Yes
55.0,Person_55,19.0,41780.37,HR,2010-02-24,18.0,1000,Yes
56.0,Person_56,23.0,45313.5,HR,2010-02-25,14.0,2000,Yes
57.0,Person_57,59.0,69067.14,Finance,2010-02-26,1.0,1000,Yes
58.0,Person_58,21.0,58268.53,Marketing,2010-02-27,1.0,3000,No
59.0,Person_59,46.0,34542.46,Finance,2010-02-28,18.0,,No
60.0,Person_60,35.0,47774.08,Finance,2010-03-01,16.0,1000,Yes
61.0,Person_61,43.0,47281.32,Finance,2010-03-02,19.0,3000,No
,Person_62,51.0,78741.3,Finance,2010-03-03,9.0,2000,No
63.0,Person_63,27.0,79858.94,Engineering,2010-03-04,5.0,1000,No
64.0,Person_64,53.0,40366.09,Marketing,2010-03-05,14.0,2000,Yes
65.0,Person_65,31.0,99841.83,HR,2010-03-06,10.0,2000,Yes
66.0,Person_66,48.0,48674.67,HR,2010-03-07,4.0,2000,Yes
67.0,Person_67,32.0,98363.05,Marketing,2010-03-08,0.0,,Yes
68.0,Person_68,25.0,58772.59,HR,2010-03-09,7.0,1000,Yes
69.0,Person_69,31.0,32313.55,,2010-03-10,11.0,2000,No
70.0,Person_70,40.0,54154.99,HR,2010-03-11,11.0,3000,Yes
71.0,Person_71,57.0,74404.59,Finance,2010-03-12,4.0,2000,Yes
72.0,Person_72,38.0,77649.38,HR,2010-03-13,6.0,1000,Yes
73.0,Person_73,33.0,67165.42,Marketing,2010-03-14,3.0,2000,Yes
74.0,Person_74,,61344.82,Marketing,2010-03-15,5.0,2000,Yes
75.0,Person_75,41.0,68702.52,Marketing,2010-03-16,12.0,1000,No
76.0,Person_76,43.0,71488.77,Marketing,2010-03-17,19.0,1000,Yes
77.0,Person_77,42.0,35659.73,Marketing,2010-03-18,14.0,2000,Yes
78.0,Person_78,58.0,55875.81,Engineering,2010-03-19,2.0,1000,
79.0,Person_79,46.0,46951.2,Engineering,2010-03-20,7.0,1000,No
80.0,Person_80,32.0,86219.78,HR,2010-03-21,19.0,1000,Yes
81.0,Person_81,18.0,62921.04,Marketing,2010-03-22,15.0,,Yes
82.0,Person_82,42.0,98839.62,HR,2010-03-23,12.0,,Yes
83.0,Person_83,24.0,57917.71,Marketing,2010-03-24,17.0,3000,No
84.0,Person_84,26.0,87150.23,Marketing,2010-03-25,9.0,3000,No
85.0,Person_85,41.0,85884.16,Engineering,2010-03-26,18.0,1000,No
86.0,Person_86,18.0,40550.23,Engineering,2010-03-27,16.0,3000,No
87.0,Person_87,25.0,65573.91,Finance,2010-03-28,18.0,2000,Yes
88.0,Person_88,41.0,78706.9,Engineering,2010-03-29,4.0,1000,No
89.0,Person_89,28.0,90085.12,Finance,2010-03-30,8.0,1000,No
90.0,Person_90,34.0,52817.12,Finance,2010-03-31,11.0,,Yes
91.0,Person_91,25.0,45416.87,Finance,2010-04-01,0.0,,No
92.0,Person_92,52.0,79780.47,Finance,2010-04-02,0.0,,No
93.0,Person_93,52.0,86665.07,Finance,2010-04-03,14.0,2000,No
94.0,Person_94,50.0,54406.62,HR,2010-04-04,1.0,1000,No
95.0,Person_95,22.0,36732.36,Engineering,2010-04-05,15.0,3000,Yes
96.0,Person_96,59.0,95836.63,Finance,2010-04-06,7.0,2000,No
97.0,Person_97,56.0,57830.04,Marketing,2010-04-07,12.0,,Yes
